InternationalAirmailPackets,1,12.26
InternationalAirmailPackets,1.02,12.48
InternationalAirmailPackets,1.04,12.7
InternationalAirmailPackets,1.06,12.92
InternationalAirmailPackets,1.08,13.14
InternationalAirmailPackets,1.1,13.36
InternationalAirmailPackets,1.12,13.58
InternationalAirmailPackets,1.14,13.8
InternationalAirmailPackets,1.16,14.02
InternationalAirmailPackets,1.18,14.24
InternationalAirmailPackets,1.2,14.46
InternationalAirmailPackets,1.22,14.68
InternationalAirmailPackets,1.24,14.9
InternationalAirmailPackets,1.26,15.12
InternationalAirmailPackets,1.28,15.34
InternationalAirmailPackets,1.3,15.56
InternationalAirmailPackets,1.32,15.78
InternationalAirmailPackets,1.34,16
InternationalAirmailPackets,1.36,16.22
InternationalAirmailPackets,1.38,16.44
InternationalAirmailPackets,1.4,16.66
InternationalAirmailPackets,1.42,16.88
InternationalAirmailPackets,1.44,17.1
InternationalAirmailPackets,1.46,17.32
InternationalAirmailPackets,1.48,17.54
InternationalAirmailPackets,1.5,17.76
InternationalAirmailPackets,1.52,17.98
InternationalAirmailPackets,1.54,18.2
InternationalAirmailPackets,1.56,18.42
InternationalAirmailPackets,1.58,18.64
InternationalAirmailPackets,1.6,18.86
InternationalAirmailPackets,1.62,19.08
InternationalAirmailPackets,1.64,19.3
InternationalAirmailPackets,1.66,19.52
InternationalAirmailPackets,1.68,19.74
InternationalAirmailPackets,1.7,19.96
InternationalAirmailPackets,1.72,20.18
InternationalAirmailPackets,1.74,20.4
InternationalAirmailPackets,1.76,20.62
InternationalAirmailPackets,1.78,20.84
InternationalAirmailPackets,1.8,21.06
InternationalAirmailPackets,1.82,21.28
InternationalAirmailPackets,1.84,21.5
InternationalAirmailPackets,1.86,21.72
InternationalAirmailPackets,1.88,21.94
InternationalAirmailPackets,1.9,22.16
InternationalAirmailPackets,1.92,22.38
InternationalAirmailPackets,1.94,22.6
InternationalAirmailPackets,1.96,22.82
InternationalAirmailPackets,1.98,23.04
InternationalAirmailPackets,2,23.26
InternationalSurfaceSmallPackets,0.02,0.91
InternationalSurfaceSmallPackets,0.06,0.91
InternationalSurfaceSmallPackets,0.1,0.91
InternationalSurfaceSmallPackets,0.15,1.22
InternationalSurfaceSmallPackets,0.2,1.53
InternationalSurfaceSmallPackets,0.25,1.84
InternationalSurfaceSmallPackets,0.3,2.13
InternationalSurfaceSmallPackets,0.35,2.44
InternationalSurfaceSmallPackets,0.4,2.76
InternationalSurfaceSmallPackets,0.45,3.06
InternationalSurfaceSmallPackets,0.5,3.36
InternationalSurfaceSmallPackets,0.55,3.67
InternationalSurfaceSmallPackets,0.6,3.98
InternationalSurfaceSmallPackets,0.65,4.28
InternationalSurfaceSmallPackets,0.7,4.59
InternationalSurfaceSmallPackets,0.75,4.89
InternationalSurfaceSmallPackets,0.8,5.2
InternationalSurfaceSmallPackets,0.85,5.5
InternationalSurfaceSmallPackets,0.9,5.81
InternationalSurfaceSmallPackets,0.95,6.12
InternationalSurfaceSmallPackets,1,6.42
InternationalSurfaceSmallPackets,1.05,6.73
InternationalSurfaceSmallPackets,1.1,7.03
InternationalSurfaceSmallPackets,1.15,7.34
InternationalSurfaceSmallPackets,1.2,7.65
InternationalSurfaceSmallPackets,1.25,7.95
InternationalSurfaceSmallPackets,1.3,8.25
InternationalSurfaceSmallPackets,1.35,8.56
InternationalSurfaceSmallPackets,1.4,8.87
InternationalSurfaceSmallPackets,1.45,9.17
InternationalSurfaceSmallPackets,1.5,9.48
InternationalSurfaceSmallPackets,1.55,9.79
InternationalSurfaceSmallPackets,1.6,10.09
InternationalSurfaceSmallPackets,1.65,10.35
InternationalSurfaceSmallPackets,1.7,10.61
InternationalSurfaceSmallPackets,1.75,10.87
InternationalSurfaceSmallPackets,1.8,11.13
InternationalSurfaceSmallPackets,1.85,11.39
InternationalSurfaceSmallPackets,1.9,11.65
InternationalSurfaceSmallPackets,1.95,11.91
InternationalSurfaceSmallPackets,2,12.17
